day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,RFTRA
2000-01-01,0.0,0.14468999999999999,105.0,0.0,68.25,36.75,105.0,0.005768242284916577,10.0,0.25,19.09,1.0
2000-01-02,0.008867383536197072,0.15418402101692283,111.88971046220817,0.0,72.7283118004353,39.16139866177286,111.88971046220817,0.0033115096601397517,11.2,0.253925411997922,18.337964614376727,1.0
2000-01-03,0.017157356051432475,0.16402496310910578,119.03117787308113,0.0,77.37026561750274,41.660912255578396,119.03117787308113,0.002588901447024583,12.399999999999999,0.25880410226057027,18.322170868031073,1.0
2000-01-04,0.024292506524744538,0.17390845039632358,126.20351988122178,0.0,82.03228792279415,44.17123195842762,126.20351988122178,0.006308791527407611,13.599999999999998,0.26316485415568985,18.31104201651738,1.0
2000-01-05,0.03270620997304315,0.1850328339415831,134.27636715644638,0.0,87.27963865169015,46.996728504756234,134.2763671564464,0.0036164142104819184,14.799999999999997,0.26600184840406343,18.287827356380138,1.0
2000-01-06,0.04124364435440499,0.19689663364847945,142.8858009060083,0.0,92.87577058890541,50.01003031710291,142.88580090600834,0.007725787056347181,15.999999999999996,0.2690752742399266,18.275204387838823,1.0
2000-01-07,0.050482220689791704,0.2101677061787107,152.51647763331692,0.0,99.135710461656,53.380767171660914,152.51647763331692,0.012315720543464068,17.199999999999996,0.2711160657889689,18.252196331570264,1.0
2000-01-08,0.05943209151469758,0.22481612622484715,163.146680859831,0.0,106.04534255889017,57.10133830094085,163.14668085983104,0.0064233308183464745,18.399999999999995,0.2723655997616181,18.219527035613773,1.0
2000-01-09,0.06801076954041382,0.24020588939673165,174.31486893812166,0.0,113.30466480977908,61.01020412834257,174.31486893812166,0.0037055104236581784,19.599999999999994,0.2743880734247846,18.205006239125776,1.0
2000-01-10,0.07555835645726994,0.25510020556292007,185.12351637367203,0.0,120.33028564288684,64.79323073078521,185.12351637367203,0.011567186998891837,20.799999999999994,0.27648666312236514,18.196922592945192,1.0
2000-01-11,0.08459071457088463,0.2710284037925293,196.6824410685989,0.0,127.8435866945893,68.83885437400961,196.6824410685989,0.011081955229843943,21.999999999999993,0.27762581769712197,18.17276798933668,1.0
2000-01-12,0.092674468864348,0.2870809817505803,208.3316268146446,0.0,135.415557429519,72.91606938512561,208.3316268146446,0.014011491091790854,23.199999999999992,0.27873238722564364,18.15059138363493,1.0
2000-01-13,0.10174807062231711,0.30552368562287274,221.71530161311523,0.0,144.1149460485249,77.60035556459032,221.7153016131152,0.006326574584666096,24.39999999999999,0.2795589765461322,18.124239027725622,1.0
2000-01-14,0.10834705371902191,0.3213571775578935,233.19520783203848,0.0,151.5835743197611,81.61163351227738,233.11521674494426,0.014590228007750238,25.59999999999999,0.29649663321770187,18.512313810373165,1.0
2000-01-15,0.11643080801248529,0.3379919150920603,245.21540766383248,0.0,159.43014862833033,85.78525903550216,244.74067344613357,0.011536590886580038,26.79999999999999,0.2970786930985587,18.50270897504137,1.0
2000-01-16,0.12381342035192378,0.3536841381021851,256.50793617144257,0.0,166.83214061423826,89.67579555720434,255.3146337931874,0.014573164422219948,27.99999999999999,0.29667934251563477,18.467021590437767,1.0
2000-01-17,0.13103105811394464,0.3706864790643076,268.6974958368865,0.0,174.8521127661828,93.84538307070369,266.39587856275466,0.017720377802823532,29.19999999999999,0.3364279389443813,19.602695817175928,1.0
2000-01-18,0.14113575098077386,0.395957031423793,286.7488108107624,0.0,186.77218463386464,99.97662617689777,282.33751879942423,0.014297414523867574,30.399999999999988,0.31750000000000006,19.05,1.0
2000-01-19,0.15000313451697092,0.4233893674370295,306.24489157564045,0.0,199.71196577218373,106.53292580345672,298.86951551703123,0.009119932097437281,31.599999999999987,0.3161551493654202,19.007502719947276,1.0
2000-01-20,0.15837559432091514,0.45266338763502345,326.95760925354796,0.0,213.5204658655771,113.43714338797088,315.8160699014512,0.018907412067944385,32.79999999999999,0.315553654375681,18.98615986352234,1.0
2000-01-21,0.16678929776921375,0.4845860261248975,349.45018741501235,0.0,228.57831420985733,120.87187320515504,333.60565734720575,0.022238164822683763,33.99999999999999,0.3144684190893256,18.94692624903707,1.0
2000-01-22,0.17578041223847404,0.5194495192078258,373.912401576747,0.0,245.02335811689898,128.88904345984804,352.3027164074846,0.014168645110544609,35.199999999999996,0.3134008974992816,18.905711591974715,1.0
2000-01-23,0.18390541017629183,0.5558311692851147,399.326541618517,0.0,262.18451381373336,137.14202780478365,371.02717417415147,0.011932933564876515,36.4,0.3128792811048555,18.88180583221674,1.0
2000-01-24,0.18988573860768054,0.5874065340524337,421.2951738519504,0.0,277.07855379831784,144.21662005363254,386.68215674298654,0.015248158923348019,37.6,0.31250214689389727,18.86208072321054,1.0
2000-01-25,0.19598979797213248,0.623010225922145,445.99390176642925,0.0,293.87274807648345,152.1211536899458,403.8537882862152,0.01758672739275724,38.800000000000004,0.31206638015925015,18.839175550178908,1.0
2000-01-26,0.20147520267126834,0.6577767578741769,470.0399271290153,0.0,310.27205560102686,159.76787152798846,420.15413369105363,0.030473882709178942,40.00000000000001,0.31158993447274047,18.81359737890962,1.0
2000-01-27,0.2112087027389079,0.7039991294872369,501.92382041147124,0.0,332.0750610788853,169.84875933258593,441.25373974651137,0.03543297331213011,41.20000000000001,0.32672998370187634,19.430275328517304,1.0
2000-01-28,0.22143712653880035,0.7608207515504442,540.933919506714,0.0,358.8777129954925,182.05620651122152,465.834920961114,0.035303420463823676,42.40000000000001,0.3175,19.05,1.0
2000-01-29,0.23137684482821194,0.8214143839847623,582.3282274373885,0.0,387.4596150871521,194.86861235023645,490.5948142816398,0.04254790065655465,43.600000000000016,0.3164216089560248,19.00298215048268,1.0
2000-01-30,0.241976461427294,0.8899653984160592,628.9349496838468,0.0,419.7949992528581,209.13995043098865,517.0792242201718,0.07147503586871967,44.80000000000002,0.31523195425699585,18.948391550713414,1.0
2000-01-31,0.25241110344895845,0.964789440139374,679.5488451375796,0.0,455.08935855630847,224.45948658127116,544.2883510068657,0.05213443757648843,46.00000000000002,0.31335221026090737,18.85920167200174,1.0
